code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Volte Pr.Blok www.cibulka.net,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Společ.proti výst.v Prok.údolí,Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,OBČANÉ 2011-SPRAVEDL. PRO LIDI,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
500054,Praha 1,21556,14167,14036,2770,9,13,657,12,1,774,392,514,41,6,241,14,44,2332,5,0,12,2783,1654,1,7,954,3,133,11,2,617,34
500224,Praha 10,79964,52277,51895,8137,40,34,3175,50,17,2334,2485,1212,230,15,1050,35,67,9355,9,8,30,6497,10856,37,53,2398,12,477,69,53,2998,162
547034,Praha 11,58353,39306,39116,5100,48,18,2513,30,17,1548,2310,757,192,13,846,29,57,6763,11,5,23,3598,10213,31,35,1622,14,373,86,53,2674,137
547107,Praha 12,42205,28561,28428,4095,24,13,1750,23,11,1146,1774,544,160,18,601,21,41,5034,11,1,17,2729,6803,21,25,1162,7,279,62,30,1875,151
539694,Praha 13,42687,28376,28221,4444,24,15,1601,15,12,1409,1273,631,123,92,742,27,43,5410,7,1,19,3173,5678,18,29,1253,6,269,62,31,1735,79
547361,Praha 14,32506,20139,20018,3004,39,16,1193,14,7,817,929,401,124,10,470,25,34,3561,5,3,21,2013,4581,12,23,803,5,183,55,30,1544,96
547387,Praha 15,24276,16282,16200,2544,17,18,905,13,13,702,713,318,67,6,364,21,22,2886,2,4,8,1624,3928,8,21,579,9,142,36,15,1162,53
539601,Praha 16,6143,4377,4346,865,6,3,211,6,6,210,181,55,28,8,89,6,6,772,0,0,1,509,927,2,6,170,1,43,9,9,211,6
547174,Praha 17,18223,11882,11826,1659,35,14,727,5,2,552,712,228,50,5,270,7,23,2115,1,2,7,1088,2751,8,14,478,3,123,29,13,872,33
547417,Praha 18,12641,8295,8235,1224,5,5,520,3,5,348,397,168,48,1,233,7,12,1372,6,0,2,817,2001,3,11,286,2,69,25,7,625,33
547344,Praha 19,4815,3496,3471,630,11,0,212,1,1,199,175,60,25,1,77,2,8,546,3,0,4,325,730,1,3,159,2,35,9,2,237,13
500089,Praha 2,32641,21007,20814,3859,15,18,991,20,11,1086,587,688,58,8,472,14,37,3871,7,4,11,3577,2875,8,19,1173,11,203,38,8,1098,47
538213,Praha 20,11243,7986,7944,1293,11,2,458,6,5,373,544,137,72,0,134,9,21,1303,1,1,5,688,1843,2,11,373,1,95,21,8,507,20
538949,Praha 21,7512,5511,5497,1163,2,1,268,5,1,224,201,68,19,1,101,3,5,913,1,0,0,641,1297,4,1,218,2,29,12,1,299,17
538931,Praha 22,7355,5090,5067,971,11,3,256,0,1,332,167,100,33,1,142,6,14,852,0,0,5,612,1031,2,1,184,0,38,16,6,272,11
500097,Praha 3,51837,32808,32571,5288,25,20,1764,34,7,1565,1360,1125,137,11,698,17,54,6069,15,6,13,4785,5792,18,23,1451,11,290,60,37,1795,101
500119,Praha 4,95350,63911,63462,10281,55,47,3822,65,15,3158,2815,1459,250,33,1322,37,95,11134,16,12,62,7717,13451,42,45,3016,13,630,127,57,3489,197
500143,Praha 5,58953,39040,38802,6517,38,25,1932,27,12,2130,1402,1026,143,125,826,34,65,7021,12,6,27,5898,6769,14,35,2044,11,356,71,26,2086,124
500178,Praha 6,74849,53613,53196,8312,33,27,2893,35,18,3306,2458,1565,157,21,897,29,66,9189,15,3,32,8690,8958,27,30,3318,17,513,89,34,2349,115
500186,Praha 7,30570,20242,20064,3145,20,21,978,20,8,1034,590,848,66,5,427,23,25,3925,7,2,19,3359,2812,11,19,1410,6,202,37,11,996,38
500208,Praha 8,78558,51484,51154,7978,67,32,3001,39,19,2431,3153,1159,207,20,996,35,62,8755,27,27,34,5784,10956,29,52,2308,14,542,127,55,3092,153
500216,Praha 9,38463,25124,24951,4508,31,20,1434,23,10,1078,1114,504,93,7,526,24,27,4164,3,3,22,2783,5534,20,19,1024,14,227,57,20,1584,78
538060,Praha-Běchovice,1546,1107,1105,237,1,2,43,1,1,46,54,11,10,1,20,1,1,175,1,0,0,124,240,1,1,51,1,5,1,1,74,1
538078,Praha-Benice,484,367,363,74,0,2,13,0,0,30,8,3,1,0,6,0,1,59,0,0,0,37,79,0,0,15,0,10,0,0,25,0
538124,Praha-Březiněves,957,725,721,147,1,0,44,1,0,32,41,8,3,0,9,0,2,101,0,0,0,90,162,0,0,28,3,10,1,1,36,1
547310,Praha-Čakovice,7158,5045,4999,914,2,2,250,1,1,360,225,73,20,0,108,1,14,771,1,1,7,476,1175,2,2,224,2,40,11,6,297,13
547298,Praha-Ďáblice,2598,1853,1842,347,0,2,86,0,0,172,84,19,10,1,43,1,2,280,1,0,0,242,334,2,2,60,0,25,6,4,115,4
547301,Praha-Dolní Chabry,3020,2276,2253,483,0,2,85,0,1,125,72,36,7,1,47,2,4,392,0,0,1,309,412,1,2,112,1,24,5,1,117,11
547379,Praha-Dolní Měcholupy,1737,1319,1315,274,2,0,67,2,0,61,39,21,4,0,28,2,2,230,0,0,1,168,268,1,1,59,0,7,1,1,69,7
538175,Praha-Dolní Počernice,1790,1351,1339,290,1,1,61,1,1,59,47,24,11,0,44,0,1,211,0,0,1,148,275,2,1,68,1,8,2,2,76,3
538205,Praha-Dubeč,2601,1916,1905,335,10,2,110,0,0,77,92,34,6,3,57,2,5,268,0,1,6,219,427,0,5,82,0,26,3,1,122,12
538302,Praha-Klánovice,2597,1887,1877,458,3,2,74,0,1,93,60,33,8,0,37,0,2,295,0,0,1,249,375,1,0,66,0,15,6,4,85,9
538353,Praha-Koloděje,1032,788,784,170,0,0,34,0,1,41,34,10,5,0,11,0,2,140,0,0,0,94,176,2,2,25,0,2,3,1,31,0
538361,Praha-Kolovraty,2577,1977,1965,319,1,2,88,2,0,189,55,36,14,0,54,0,5,326,0,0,2,256,400,2,1,104,0,20,2,1,84,2
538388,Praha-Královice,284,195,194,31,0,0,19,0,0,10,10,2,0,0,2,0,1,37,0,0,0,15,39,0,2,7,0,1,1,0,17,0
538400,Praha-Křeslice,748,598,595,116,1,0,17,0,0,31,6,10,4,0,14,0,1,110,0,0,0,95,120,0,2,20,0,6,0,2,40,0
547042,Praha-Kunratice,5771,4270,4238,799,2,6,151,1,1,270,152,95,24,1,95,4,12,713,0,0,0,641,839,4,2,169,1,29,5,0,213,9
547051,Praha-Libuš,6550,4542,4509,733,5,4,218,6,1,188,218,77,27,0,106,3,10,830,1,1,3,510,1017,3,4,173,2,48,9,2,285,25
539449,Praha-Lipence,1935,1450,1442,330,0,0,57,3,0,56,55,22,4,0,33,0,3,220,1,0,2,201,295,1,3,51,0,14,13,2,72,4
539465,Praha-Lochkov,594,420,418,73,1,0,18,0,0,23,16,5,5,0,15,1,1,70,0,0,2,40,101,0,1,16,0,4,2,0,23,1
547140,Praha-Lysolaje,888,685,680,78,0,0,20,1,1,131,12,19,0,0,12,0,0,89,0,0,0,110,125,1,0,56,0,5,1,0,16,3
547158,Praha-Nebušice,1742,1188,1181,186,3,0,52,1,0,113,50,35,3,2,11,1,1,177,1,0,2,128,283,2,0,42,0,17,4,1,63,3
538531,Praha-Nedvězí,228,167,167,31,4,0,7,0,3,4,6,2,1,0,5,0,0,27,0,0,0,14,37,0,0,5,0,4,0,2,14,1
547395,Praha-Petrovice,4717,3142,3120,450,8,3,203,4,0,161,152,75,8,2,75,3,8,585,0,0,2,309,712,0,5,132,0,31,7,3,173,9
539589,Praha-Přední Kopanina,399,314,311,67,0,1,15,0,0,12,10,7,3,0,5,1,2,62,0,0,0,31,58,0,0,15,0,4,3,0,15,0
539635,Praha-Řeporyje,2947,2074,2069,405,7,0,107,2,0,105,49,43,5,5,55,1,3,372,0,1,1,235,425,1,4,109,0,20,4,1,105,4
538736,Praha-Satalice,1658,1259,1248,223,1,0,68,0,2,141,38,16,6,0,35,2,0,168,2,0,2,132,254,1,0,61,0,14,5,1,74,2
539678,Praha-Slivenec,2524,1857,1844,355,1,0,68,4,0,249,53,17,14,3,40,3,1,291,0,0,0,248,305,0,3,58,1,20,5,1,102,2
547271,Praha-Suchdol,4635,3413,3393,510,3,1,147,4,4,434,145,83,12,0,64,1,3,537,0,0,1,414,655,0,0,165,2,28,5,2,166,7
539724,Praha-Šeberov,2145,1588,1581,343,1,1,53,0,0,61,58,19,3,1,34,2,1,252,1,0,2,218,341,3,3,57,1,23,8,4,86,5
547409,Praha-Štěrboholy,1275,975,972,213,1,0,39,2,0,48,33,16,3,0,9,2,4,158,0,0,1,125,235,0,1,35,0,7,0,1,36,3
547328,Praha-Troja,889,699,693,138,0,0,25,1,1,66,16,17,1,1,10,3,0,94,1,0,0,135,107,0,0,47,0,6,2,0,22,0
539791,Praha-Újezd,2085,1583,1577,292,1,1,55,0,0,80,59,31,8,0,38,2,2,272,0,0,0,205,337,3,2,67,1,15,4,1,95,6
547115,Praha-Velká Chuchle,1746,1313,1304,260,0,0,51,1,0,77,52,28,2,3,19,0,1,213,0,1,0,209,243,0,3,49,0,5,1,3,82,1
539007,Praha-Vinoř,2945,2166,2158,337,8,4,107,1,2,201,85,35,8,1,40,2,2,318,1,0,0,204,486,1,1,138,1,11,2,2,154,6
539864,Praha-Zbraslav,7359,5210,5173,905,7,4,255,4,1,249,215,124,22,2,102,5,12,915,1,0,10,657,1045,4,2,263,1,63,8,2,280,15
539899,Praha-Zličín,4079,2826,2801,472,1,0,111,2,0,169,125,33,15,4,50,2,6,490,1,0,2,347,623,1,2,131,0,33,5,4,166,6
